Title,Author,Score,Ratings,Shelvings,Published
Are You in the House Alone?,Richard Peck,3.52,1653,3701,1967
The Lover,Silvia Moreno-Garcia,3.8,11402,23812,2023
"The House of Arden (House of Arden, #1)",E. Nesbit,3.95,871,2172,1908
The Little Friend,Donna Tartt,3.47,70039,145217,2002
Carnal Innocence,Nora Roberts,4.0,20733,27061,1991
Collected Poems,Ernest Dowson,4.1,50,112,1902
We Are All So Good at Smiling,Amber McBride,3.9,4168,28662,2023
A Child of Sorrow,Zoilo Galang,3.59,41,229,1921
Desert Solitaire,Edward Abbey,4.19,49834,93660,1968
M.C. Escher: The Graphic Work,M.C. Escher,3.94,68256,122514,1954
The Four Fists,F. Scott Fitzgerald,3.61,225,389,1920
Journeyman,Erskine Caldwell,3.66,427,558,1935
"Ethan of Athos (Vorkosigan Saga, #3)",Lois McMaster Bujold,3.8,15897,20366,1986
Bel Canto,Ann Patchett,3.93,283534,437003,2001
Artemisia,Anna Banti,3.73,813,2390,1947
The Great Ghost Rescue,Eva Ibbotson,3.79,2549,4334,1975
"The Wide Wide Sea: Imperial Ambition, First Contact and the Fateful Final Voyage of Captain James Cook",Hampton Sides,4.6,192,10634,2024
The World Turned Upside Down: Radical Ideas During the English Revolution,Christopher Hill,4.12,1285,4722,1972
"Run, Rose, Run",Dolly Parton,3.81,123243,175186,2022
You're Never Weird on the Internet (Almost),Felicia Day,4.08,49606,118665,2015
The Coming Of Bill,P.G. Wodehouse,3.63,865,1025,1919
The Christmas Child,Hesba Stretton,3.78,129,224,1909
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,4.74,288361,379860,2007
Wisconsin Death Trip,Michael Lesy,4.01,1881,6791,1973
The Age of Magical Overthinking: Notes on Modern Irrationality,Amanda Montell,3.87,2091,74169,2024
Scripts People Live: Transactional Analysis of Life Scripts,Claude M. Steiner,4.05,956,3485,1974
Wild Life on the Rockies,Enos A. Mills,3.97,73,129,1909
"World's Great Men of Color, Volume I",J.A. Rogers,4.66,435,1838,1947
Goodnight Moon,Margaret Wise Brown,4.31,373695,586703,1947
"The Best Minds: A Story of Friendship, Madness, and the Tragedy of Good Intentions",Jonathan Rosen,4.11,7632,46015,2023
Danger! and Other Stories (1918),Arthur Conan Doyle,3.46,123,155,1919
Anything Can Happen,George Papashvily,4.24,233,454,1945
Mutant Message Down Under,Marlo Morgan,3.78,21442,21562,1990
A Dark Stranger,Julien Gracq,3.78,236,746,1945
There are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,4.3,15437,34508,1991
The Camomile Lawn,Mary Wesley,3.87,4702,7937,1984
"The Summer You Found Me (The Summer, #3)",Elizabeth O'Roark,4.11,3535,12597,2024
"The Darkest Kiss (Lords of the Underworld, #2)",Gena Showalter,4.24,55226,80139,2008
How Music Works,David Byrne,4.0,25019,90537,2014
Once a Runner,John L. Parker Jr.,4.07,15005,23516,1978
"Mr. Bridge (Mrs and Mr Bridge, #2)",Evan S. Connell,4.0,2534,3829,1969
A Testament of Hope: The Essential Writings and Speeches,Martin Luther King Jr.,4.56,2356,11004,1986
The Life of a Useless Man,Maxim Gorky,3.65,704,1311,1907
Where's Molly,H.D. Carlton,4.24,53422,112045,2024
The Little Lady of the Big House,Jack London,3.87,2528,3129,1916
"The Viscount Who Loved Me: The 2nd Epilogue (Bridgertons, #2.5)",Julia Quinn,3.93,20338,49678,2006
The Meaning of Culture,John Cowper Powys,4.17,41,669,1929
Education and the Good Life 1926,Bertrand Russell,3.9,71,465,1926
Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.06,219688,483454,2003
Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,3.77,6525,35660,1986
House Rules,Jodi Picoult,4.04,174628,264530,2010
"The Mask of Dimitrios (Charles Latimer, #1)",Eric Ambler,3.92,10303,13599,1939
Bloodchild,Octavia E. Butler,4.0,5825,14054,1984
Who Will Comfort Toffle?,Tove Jansson,4.47,2933,3349,1960
Originals: How Non-Conformists Move the World,Adam M. Grant,3.96,53137,168257,2016
Christ and Culture (Torchbooks),H. Richard Niebuhr,3.91,2743,5964,1951
The Wreck,Rabindranath Tagore,3.87,1637,1039,1906
"Berserk, Vol. 2 (Berserk, #2)",Kentaro Miura,4.43,17774,24361,1991
Duel,Richard Matheson,4.03,2443,5692,1971
The Book of Romance,Andrew Lang (editor),3.48,31,189,1902
Neighbour Rosicky (Creative's Classics),Willa Cather,4.07,462,748,1932
"Nightbirds on Nantucket (The Wolves Chronicles, #3)",Joan Aiken,4.13,2518,3863,1966
"The Code of the Woosters (Jeeves, #7)",P.G. Wodehouse,4.32,28686,34023,1938
"Shakespeare's Landlord (Lily Bard, #1)",Charlaine Harris,3.77,27605,44842,1996
Stillwatch,Mary Higgins Clark,3.87,10717,14796,1984
The Stars Look Down,A.J. Cronin,4.36,1370,2057,1935
Stone Soup,Ann McGovern,4.3,28896,33203,1971
The View from Saturday,E.L. Konigsburg,3.76,45887,64400,1996
Beneath the Wheel,Hermann Hesse,3.87,19261,19721,1906
Under the Black  Ensign,L. Ron Hubbard,3.43,349,534,1935
"Pucking Wild (Jacksonville Rays, #2)",Emily Rath,4.24,27081,69152,2023
"The MacGregors: Serena & Caine (The MacGregors, #1 -2)",Nora Roberts,4.1,12335,19434,1985
Dark Universe,Daniel F. Galouye,3.73,954,2666,1961
The Snow Goose,Paul Gallico,4.16,4971,7114,1941
The Yiddish Policemen's Union,Michael Chabon,3.71,76780,126781,2007
The Ringer,Edgar Wallace,3.37,397,304,1925
"Vampire Mountain (Cirque Du Freak, #4)",Darren Shan,4.16,34671,49035,2001
The French Chef Cookbook,Julia Child,4.39,1853,4037,1968
The King in Yellow and Other Horrors: The Best Weird Fiction & Ghost Stories of Robert W. Chambers,Robert W. Chambers,3.69,8590,24272,1970
Uller Uprising,H. Beam Piper,3.65,714,1149,1952
Make Way for Ducklings,Robert McCloskey,4.24,89193,114394,1941
"Twilight's Child (Cutler, #3)",V.C. Andrews,3.85,9782,17716,1992
The Works of H.G. Wells,H.G. Wells,4.12,745,810,1924
The House of Thunder,Leigh Nichols (Pseudonym),3.84,21921,25254,1982
The Ministry Of Healing,Happiness Digest,4.55,487,1092,1905
The Book of Ruth,Jane Hamilton,3.86,67643,92716,1988
Theodore Rex,Edmund Morris,4.18,49336,91987,2001
"The Untamed (Dan Barry, #1)",Max Brand,3.86,613,775,1919
Steve Jobs,Walter Isaacson,4.16,1118228,3373010,2011
"Magnetism (Great Loves, #12)",F. Scott Fitzgerald,3.54,600,1681,1928
Shantaram,Gregory David Roberts,4.27,217283,391277,2003
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,4.13,50331,98301,1926
Dostoevsky,André Gide,3.92,192,447,1923
Los piratas del Halifax,Jules Verne,3.48,161,96,1903
"Red Queen (Antonia Scott, #1)",Juan Gómez-Jurado,4.09,52760,21415,2023
"The Great Brain at the Academy (Great Brain, #4)",John D. Fitzgerald,4.29,4162,5522,1972
Walk of Shame,Avery Flynn,3.91,1537,13584,2024
The Birth of the Clinic: An Archaeology of Medical Perception,Michel Foucault,3.96,2308,8782,1963
Homo Deus: A History of Tomorrow,Yuval Noah Harari,4.21,250627,608892,2015
The Tennis Partner,Abraham   Verghese,3.97,8784,26791,1998
The Crisis of European Sciences and Transcendental Phenomenology,Edmund Husserl,4.09,759,3079,1954
The Lords of Creation: The History of America's 1 Percent (Forbidden Bookshelf),Frederick Lewis Allen,4.17,292,2484,1935
"Fallen Hearts (Casteel, #3)",V.C. Andrews,3.93,16172,27333,1988
Maniac Magee,Jerry Spinelli,3.9,125409,157611,1990
"Tales of Nevèrÿon (Return to Nevèrÿon, #1)",Samuel R. Delany,3.92,1568,5774,1979
"Vintage Murder (Roderick Alleyn, #5)",Ngaio Marsh,3.82,3680,4449,1937
The Fiery Angel,Valery Bryusov,4.04,364,1024,1908
The Last Days of Mankind: The Last Night,Karl Kraus,3.96,24,102,1918
Tales of the Jazz Age,F. Scott Fitzgerald,3.89,7723,12433,1922
"Fire Sea (The Death Gate Cycle, #3)",Margaret Weis,4.09,19228,24392,1991
All That Is Mine I Carry with Me,William Landay,3.85,14716,64599,2023
The Forest of Vanishing Stars,Kristin Harmel,4.26,71248,165336,2021
Unpopular Essays,Bertrand Russell,4.11,1343,4427,1950
Famous for a Living,Melissa    Ferguson,3.51,6034,21192,2023
Tintin au Congo (Tintin #2),Hergé,3.16,10772,1672,1930
A Council of Dolls,Mona Susan Power,4.05,3450,24816,2023
What Alice Forgot,Liane Moriarty,4.08,468936,669868,2009
"Oh, the Places You’ll Go!",Dr. Seuss,4.36,407673,667009,1990
"Sir Gawain and the Green Knight, Pearl, and Sir Orfeo",J.R.R. Tolkien (Translator),3.97,13055,22324,1975
"The Middle Moffat (The Moffats, #2)",Eleanor Estes,4.02,3064,4830,1942
"Vampires Don't Wear Polka Dots (The Adventures of the Bailey School Kids, #1)",Debbie Dadey,3.84,8000,13700,1990
The Multiple States of the Being,René Guénon,4.24,142,777,1932
The Tiger in the House: A Cultural History of the Cat (New York Review Books Classics),Carl van Vechten,3.51,256,2142,1920
The Kites,Romain Gary,4.27,5397,10868,1980
The Perks of Being a Wallflower,Stephen Chbosky,4.23,1828010,2854874,1999
"Loyalty in Death (In Death, #9)",J.D. Robb,4.33,35181,45166,1999
"Age of Myth (The Legends of the First Empire, #1)",Michael J. Sullivan,4.22,36258,110264,2016
Steel Magnolias,Robert  Harling,4.27,17519,22069,1988
The Case for India,Will Durant,4.32,298,2735,1930
Going Bicoastal,Dahlia Adler,3.87,2968,23313,2023
"Gorky Park (Arkady Renko, #1)",Martin Cruz Smith,4.04,67614,91319,1981
"Easy (Contours of the Heart, #1)",Tammara Webber,4.08,226880,382848,2012
"Histoire d'O | Story of O (Story of O, #1)",Pauline Réage,3.3,20690,35600,1954
"Apollyon (Covenant, #4)",Jennifer L. Armentrout,4.32,55866,93955,2013
"Mackenzie's Mountain (Mackenzie Family, #1)",Linda Howard,4.16,17952,25758,1989
"Mystery at the Ski Jump (Nancy Drew Mystery Stories, #29)",Carolyn Keene,3.88,5512,10511,1952
Damn! (A Book of Calumny),H.L. Mencken,3.76,370,350,1918
Please Look After Mom,Shin Kyung-Sook,3.9,41664,67283,2008
Fanny J. Crosby: An Autobiography (Hendrickson Biographies),Fanny J. Crosby,3.72,174,381,1906
A House in the Uplands,Erskine Caldwell,3.16,209,856,1946
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,753828,636578,2008
The Road To Miltown: Or Under The Spreading Atrophy,S.J. Perelman,3.95,42,143,1901
"Hellsing, Vol. 1 (Hellsing, #1)",Kohta Hirano,4.26,30743,48401,1998
"Gentle Rogue (Malory-Anderson Family, #3)",Johanna Lindsey,4.18,22747,33739,1990
The Esoterism of Dante,René Guénon,3.73,284,750,1925
"How to Measure Anything: Finding the Value of ""Intangibles"" in Business",Douglas W. Hubbard,3.91,3530,12748,1985
The Woman of the Wolf and Other Stories (English and French Edition),Renée Vivien,3.73,226,412,1904
Kerouac: A Biography,Allen Ginsberg (Foreword),4.1,1652,3334,1973
Burnt Offerings,Robert Marasco,3.8,8531,19360,1973
"Planet of Adventure (Planet of Adventure, #1-4)",Jack Vance,4.25,2079,3209,1968
"Mr. Masters (Mr. Series, #1)",T.L. Swan,4.2,62247,128774,2018
Higglety Pigglety Pop! or There Must Be More to Life,Maurice Sendak,4.19,1789,2783,1967
"What's Bred in the Bone (Cornish Trilogy, #2)",Robertson Davies,4.27,6231,9373,1985
Five Bad Deeds,Caz Frear,3.4,1688,15593,2023
"VOLTAIRE - Premium Collection: Novels, Philosophical Writings, Historical Works, Plays, Poems & Letters (60+ Works in One Volume) - Illustrated: Candide, ... the Atheist, Dialogues, Oedipus, Caesar…",Voltaire,4.13,215,1006,1906
Custer Died for Your Sins: An Indian Manifesto,Vine Deloria Jr.,4.13,3766,16492,1969
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.27,431497,457211,1990
Discourse on Thinking,Martin Heidegger,3.94,634,2225,1954
House of Stairs,William Sleator,3.83,5077,11099,1974
The New Typography,Jan Tschichold,4.13,1075,2543,1928
Tilly in Technicolor,Mazey Eddings,4.12,3157,20786,2023
The Little White Horse,Elizabeth Goudge,4.09,13912,27619,1946
Combat Liberalism,Mao Zedong,4.12,757,2803,1937
"Storm Rising (Mage Storms, #2)",Mercedes Lackey,4.06,12637,16802,1995
Nequa: The problem of the ages,Jack   Adams,3.92,13,237,1900
Some Prefer Nettles,Jun'ichirō Tanizaki,3.61,4435,11097,1928
Selected Poems,Pablo Neruda,4.36,4048,1477,1949
Monsieur Monde Vanishes,Georges Simenon,3.8,993,2115,1945
"The Demon in the House  (Barsetshire, #3)",Angela Thirkell,3.68,321,703,1934
The Only Survivors,Megan Miranda,3.55,58199,150878,2023
The Furnished Room (Tale Blazers),O. Henry,3.52,621,1179,1906
"Love, Theoretically",Ali Hazelwood,4.13,371095,741342,2023
Franz Kafka's The Castle (Dramatization),David Fishelson (Adapter),4.1,28114,53454,2003
Diaries of a Young Poet (Tagebücher aus der Frühzeit),Rainer Maria Rilke,4.24,185,739,1926
"The Call of the Wild, White Fang and Other Stories",Jack London,4.05,22491,29400,1903
Vidas secas,Graciliano Ramos,4.22,15577,835,1938
The Divine Invasion,Philip K. Dick,3.82,8919,15898,1981
The Wisdom of China and India,Lin Yutang (Editor),4.29,73,820,1942
Thank You for Sharing,Rachel Runya Katz,3.67,1404,22548,2023
Without Feathers,Woody Allen,3.91,10224,15579,1981
"Tom Swift and His Motor-Cycle, or, Fun and Adventures on the Road (Tom Swift Sr, #1)",Victor Appleton,3.54,411,524,1910
Anne of Green Gables,Anne Collins (Adapted by),4.09,159,175,1908
Red Oleanders,Rabindranath Tagore,3.91,369,567,1926
"At the Mountains of Madness and Other Novels of Terror  (The H.P. Lovecraft Omnibus, #1)",H.P. Lovecraft,4.17,1706,3367,1964
I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,4.18,26500,111247,2016
The Prince and the Dressmaker,Jen Wang,4.35,108777,219297,2018
In My Father's Court,Isaac Bashevis Singer,4.26,1114,2162,1956
Selected Stories,Katherine Mansfield,3.95,1532,2054,1948
Honey Girl,Morgan  Rogers,3.68,42121,135560,2021
Great Inventors And Their Inventions,Frank Puterbaugh Bachman,3.81,63,155,1918
"The Witchwood Knot (Victorian Faerie Tales, #1)",Olivia Atwater,4.16,2208,13688,2023
A Farewell to Arms,Ernest Hemingway,3.82,321927,577016,1929
"Conspiracy in Death (In Death, #8)",J.D. Robb,4.37,39682,50179,1999
The Diary Of Soren Kierkegaard,Søren Kierkegaard,4.03,386,1804,1938
"Champions of the Force (Star Wars: The Jedi Academy Trilogy, #3)",Kevin J. Anderson,3.67,14152,21285,1994
Anger: Wisdom for Cooling the Flames,Thich Nhat Hanh,4.08,11332,27730,2001
Panzram: A Journal of Murder,Thomas E. Gaddis,4.14,1008,7311,1970
A Will and a Way,Nora Roberts,4.02,12802,10190,1986
The Night Land: A Story Retold,James Stoddard (Adapter),4.2,176,467,1912
Love Insurance,Earl Derr Biggers,3.76,161,161,1914
Faro's Daughter,Georgette Heyer,3.96,14708,23872,1941
"Mind Prey (Lucas Davenport, #7)",John Sandford,4.23,23583,29785,1995
The Known World,Edward P. Jones,3.83,41259,85867,2003
The Diamond Master,Jacques Futrelle,3.49,152,204,1909
Star Maker,Olaf Stapledon,3.91,8167,27090,1937
Machineries of Joy,Ray Bradbury,3.97,2755,4111,1964
"Childhood / Youth / Dependency (The Copenhagen Trilogy, #1-3)",Tove Ditlevsen,4.36,14754,44457,1967
"Squire (Protector of the Small, #3)",Tamora Pierce,4.3,53047,66951,2001
Short Stories (Dover Thrift Editions),Theodore Dreiser,3.94,176,499,1918
Little Caesar,W.R. Burnett,3.65,339,668,1929
Love in the Night (Greetings Book),F. Scott Fitzgerald,3.7,171,363,1925
Mazes and Labyrinths: Their History and Development,William Henry Matthews,3.56,107,409,1922
Just One Look,Harlan Coben,4.02,44410,55742,2004
"Spring Snow (The Sea of Fertility, #1)",Yukio Mishima,4.16,19246,73473,1967
Zero Cool,John Lange,3.61,3261,5194,1969
The Jane Austen Book Club,Karen Joy Fowler,3.1,69914,113180,2004
"A Suitable Vengeance (Inspector Lynley, #4)",Elizabeth  George,4.02,17445,20053,1991
Gently Does It,Alan Hunter,3.78,1727,2433,1955
The Ship of Ishtar (Collier Nucleus Fantasy & Science Fiction),A. Merritt,3.56,572,870,1924
"There Will Be Fire: Margaret Thatcher, the IRA, and Two Minutes That Changed History",Rory Carroll,4.37,3831,23528,2023
The Summer Skies,Jenny Colgan,3.9,5035,17675,2023
A Woman Rice Planter,Elizabeth W. Allston Pringle,4.02,51,123,1913
"Give Me More (Salacious Players Club, #3)",Sara Cate,4.2,62457,133869,2022
"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,4.14,188110,278823,2022
"The Selection (The Selection, #1)",Kiera Cass,4.08,1790383,3215970,2012
Hunted by a Shadow (Kings of Mafia #3),Michelle Heard,3.94,7409,15451,2024
Madeline,Ludwig Bemelmans,4.26,213228,298684,1939
Guadalcanal Diary (Modern Library War),Richard Tregaskis,4.28,5010,6003,1943
Jacob Have I Loved,Katherine Paterson,3.69,34347,50544,1980
"The Magic of Recluce (The Saga of Recluce, #1)",L.E. Modesitt Jr.,3.86,24675,39586,1991
"The Italian Woman (Catherine de Medici, #2)",Jean Plaidy,3.89,1315,2631,1952
Free to Choose: A Personal Statement,Milton Friedman,4.22,8845,30417,1980
The Beggar and the King,Winthrop Parkhurst,3.25,24,148,1918
"The Oathbound (Vows and Honor, #1)",Mercedes Lackey,4.1,14791,22540,1988
Thomasina,Paul Gallico,4.13,1192,2104,1957
"Tempting Fate (The MacGregors, #2)",Nora Roberts,4.04,6618,9741,1985
The Love Song of J. Alfred Prufrock and Other Poems,T.S. Eliot,4.32,18989,33478,1915
The Library Book,Susan Orlean,3.89,115357,298337,2018
Are You Afraid of the Dark?,Sidney Sheldon,3.69,30468,44621,2004
Him (Him #1),Sarina Bowen,4.24,69025,103701,2015
Queer,William S. Burroughs,3.6,13806,30064,1985
Flags of Our Fathers,James D. Bradley,4.22,60621,92552,2000
Serendipity (Serendipity Books),Stephen Cosgrove,4.2,2699,4400,1974
The Journey to the East,Hermann Hesse,3.69,14598,20842,1932
"Black and Blue (Inspector Rebus, #8)",Ian Rankin,4.09,17523,22080,1997
The Fall of Paris: The Siege and the Commune 1870-71,Alistair Horne,4.1,769,3083,1965
"The Message of a Master: Classic Tale of Wealth, Wisdon, and the Secret of Success",John  McDonald,4.29,195,845,1929
Men Without Women,Ernest Hemingway,3.6,13360,31471,1927
"The Case of the Curious Bride (Perry Mason, #5)",Erle Stanley Gardner,3.94,2455,3527,1934
A Visit to William Blake's Inn: Poems for Innocent and Experienced Travelers,Nancy Willard,3.64,3586,7554,1981
"Forging the Darksword (The Darksword Trilogy, #1)",Margaret Weis,3.69,10059,15116,1988
The Best Way to Bury Your Husband,Alexia Casale,3.82,1277,19414,2024
The Unfinished Clue,Georgette Heyer,3.87,5292,7051,1934
"The Body in the Library (Miss Marple, #3)",Agatha Christie,3.83,106925,140592,1942
Poems,Charles Baudelaire,4.28,1586,4467,1942
While Still We Live,Helen MacInnes,4.18,940,1327,1944
El llano en llamas,Juan Rulfo,4.2,21455,1645,1953
"Young Rich Widows (The Widows, #1)",Kimberly Belle,3.54,8473,27680,2024
The Lilac Bus,Maeve Binchy,3.65,13830,17393,1984
Duskin,Grace Livingston Hill,4.14,320,421,1929
A Little Cook Book for a Little Girl,Caroline French Benton,3.68,85,183,1905
The Saint Closes the Case,Leslie Charteris,3.78,595,937,1930
Sex and Rage,Eve Babitz,3.59,11700,62330,1979
The Sacred Romance: Drawing Closer to the Heart of God,Brent Curtis,3.98,13400,22190,1997
"The Secret of the Caves (The Hardy Boys, #7)",Franklin W. Dixon,3.91,5826,9673,1929
Another Little Christmas Murder,Lorna Nicholl Morgan,3.47,629,1049,1947
"Quitters, Inc",Stephen King,4.06,8800,18134,1978
"Love in a Cold Climate (Radlett & Montdore, #2)",Nancy Mitford,3.82,9088,15003,1949
"Mary Stewart's Merlin Trilogy (Arthurian Saga, #1-3)",Mary  Stewart,4.4,4851,11240,1978
The Daughter-in-law,D.H. Lawrence,3.18,61,195,1912
"Praise (Salacious Players Club, #1)",Sara Cate,4.11,133270,205797,2022
The Assistant,Bernard Malamud,3.9,10653,21365,1957
Problem at Pollensa Bay: A Parker Pyne Short Story,Agatha Christie,3.51,511,1112,1935
"The Dosadi Experiment (ConSentiency Universe, #2)",Frank Herbert,3.83,7722,11818,1977
The Culture Industry,Theodor W. Adorno,4.04,5520,16199,1944
An Amiable Charlatan,E. Phillips Oppenheim,3.77,92,109,1916
What Every Woman Knows (Dover Thrift Editions),J.M. Barrie,3.52,127,381,1908
Disney Winnie-the-Pooh: The Honey Tree,Bob Totten (Adapted By),4.44,8648,9625,1965
Martin Luther: Selections from His Writings,Martin Luther,3.79,745,1911,1958
"The Cabinet of Curiosities (Pendergast, #3; Nora Kelly, #0B)",Douglas Preston,4.27,51481,64900,2002
Underneath the Sycamore Tree,B. Celeste,4.17,15830,31864,2023
The Last Russian Doll,Kristen  Loesch,3.8,8718,36744,2023
The Night in Lisbon,Erich Maria Remarque,4.31,20534,21484,1962
"Heartless (Pretty Little Liars, #7)",Sara Shepard,4.03,43177,86215,2010
Amyntas: North African Journals,André Gide,3.7,61,87,1906
In a Different Voice: Psychological Theory and Women’s Development,Carol Gilligan,4.06,4047,10384,1982
Tarantula,Bob Dylan,3.27,4003,8543,1971
Black Ties & White Lies (Black Tie Billionaires #1),Kat Singleton,3.75,56774,145517,2023
Martin Kacur - The Biography of an Idealist,Ivan Cankar,3.49,165,253,1906
Kew Gardens,Virginia Woolf,3.62,2041,4237,1919
The Penelopiad,Margaret Atwood,3.72,73040,131870,2005
Crimson Roses,Grace Livingston Hill,4.24,879,1161,1928
I Have a Dream,Martin Luther King Jr.,4.49,3591,6657,1973
Farewell Waltz,Milan Kundera,3.87,17373,15364,1972
"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.53,429590,551726,2008
Plain Truth,Jodi Picoult,3.99,184324,260997,2000
Four Gardens,Margery Sharp,3.95,206,448,1935
A Little Maid of Narragansett Bay,Alice Turner Curtis,4.07,42,124,1915
Western Lane,Chetna Maroo,3.53,6225,19061,2023
Coma (Mulholland Classic),Robin Cook,3.88,51716,35827,1977
The 7 Habits of Highly Effective Families: Creating a Nurturing Family in a Turbulent World,Stephen R. Covey,4.13,11208,30922,1996
"My Hero Academia, Vol. 1",Kohei Horikoshi,4.34,119575,133837,2014
Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,B. Dylan Hollis,4.49,2259,18869,2023
The Stories of Breece D'J Pancake,Breece D'J Pancake,4.15,6087,13203,1983
The Ghost Stories of Edith Wharton,Edith Wharton,3.89,4971,15780,1934
Teach Us to Outgrow Our Madness,Kenzaburō Ōe,3.83,2548,6608,1966
Lilly's Purple Plastic Purse,Kevin Henkes,4.2,30093,38918,1996
The Goodbye Cat,Hiro Arikawa,3.91,3749,20715,2023
Left to Tell: Discovering God Amidst the Rwandan Holocaust,Immaculée Ilibagiza,4.43,44754,77597,2006
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.39,3325623,2543577,1954
The Longest Ride,Nicholas Sparks,4.16,142562,234337,2012
"The Wallflower, Vol. 1 (The Wallflower, #1)",Tomoko Hayakawa,4.12,18762,28652,2000
"Bloodsucking Fiends (A Love Story, #1)",Christopher Moore,3.94,64724,105944,1995
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,4.23,173907,274954,2002
Cities in Evolution: An Introduction to the Town Planning Movement and to the Study of Civics,Patrick Geddes,3.92,13,249,1915
"All the Birds in the Sky (All the Birds in the Sky, #1)",Charlie Jane Anders,3.59,46327,121561,2016
Misquoting Jesus: The Story Behind Who Changed the Bible and Why,Bart D. Ehrman,3.93,18517,55036,2005
Summer of the Monkeys,Wilson Rawls,4.08,14553,22810,1976
Cloud 9,Caryl Churchill,3.62,7955,11402,1979
Julia,Sandra Newman,3.8,3954,31122,2023
The Book of Negroes,Lawrence Hill,4.46,86887,82989,2007
Dark Places,Gillian Flynn,3.95,752695,1191710,2009
Jamaica Inn,Daphne du Maurier,3.89,50311,66422,1936
Frank's Bloody Books,Mack  Green,4.38,13,6155,2023
The Reign of Quantity & the Signs of the Times,René Guénon,4.34,594,3543,1945
"Briar's Book (Circle of Magic, #4)",Tamora Pierce,4.2,30774,42670,1999
The Dynasts,Thomas Hardy,3.65,57,262,1904
The Feynman Lectures on Physics Vol 1,Richard P. Feynman,4.62,1680,5364,1963
"Let Sleeping Vets Lie (All Creatures Great and Small, #3)",James Herriot,4.4,4262,6801,1973
আরণ্যক,Bibhutibhushan Bandyopadhyay,4.62,3962,805,1939
"Between the Woods and the Water (Trilogy, #2)",Patrick Leigh Fermor,4.29,3374,9421,1986
Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,4.31,42138,116526,1992
State of Wonder,Ann Patchett,3.89,189353,274696,2011
Personal Narrative of a Pilgrimage to Al Madinah And Meccah: Volume 2,Richard Francis Burton,4.08,136,285,1906
The Manor House,Gilly Macmillan,3.71,10785,50210,2023
"Dreams Underfoot (Newford, #1)",Charles de Lint,4.12,8847,38887,1993
"Arrow's Fall (Heralds of Valdemar, #3)",Mercedes Lackey,4.19,23201,30254,1988
Father Christmas,Raymond Briggs,4.3,3949,4830,1973
The Man-Eaters of Tsavo,John Henry Patterson,3.92,3959,5745,1907
The Long Way,Bernard Moitessier,4.26,2882,5928,1971
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,4.23,575228,1370535,2020
"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,4.47,55642,61718,2005
A Visit to Don Otavio,Sybille Bedford,3.89,469,1583,1953
Canary Girls,Jennifer Chiaverini,4.06,5059,27198,2023
The Wicked Deep,Shea Ernshaw,3.86,41095,117768,2018
The Ship That Flew,Hilda Lewis,4.28,349,939,1939
Coraline,P. Craig Russell (Adaptor/Illustrator),4.06,36800,61641,2008
What to Expect When You're Expecting,Heidi Murkoff,3.8,56824,67772,1969
Noon: 22nd Century,Arkady Strugatsky,4.0,1160,3576,1961
Works of William Blake,William Blake,4.31,967,1830,1953
Eleanor and Franklin,Joseph P. Lash,4.26,2924,4192,1971
"Certain Girls (Cannie Shapiro, #2)",Jennifer Weiner,3.72,48636,73363,2008
The Complete Photo Guide to Home Repair: With 350 Projects and 2300 Photos (Black & Decker),Black & Decker,4.05,249,227,1900
"The Judge's House (Maigret, #21)",Georges Simenon,3.75,1186,901,1940
Tawny Scrawny Lion (Little Golden Book),Kathryn Jackson,4.18,14113,16319,1952
"Junie B. Jones and the  Stupid Smelly Bus (Junie B. Jones, #1)",Barbara Park,3.97,28238,51159,1992
That Sik Luv,Jescie Hall,4.04,33281,101679,2023
"Lirael (Abhorsen, #2)",Garth Nix,4.29,119498,152977,2001
"Meteor Menace (Doc Savage, #3)",Kenneth Robeson (House Name),3.75,483,789,1934
The Dark Forest,Hugh Walpole,3.58,38,154,1916
The Prime of Miss Jean Brodie,Muriel Spark,3.71,54935,93497,1961
"The Well of Lost Plots (Thursday Next, #3)",Jasper Fforde,4.09,40936,52471,2003
The Anthropocene Reviewed,John Green,4.37,125153,352729,2021
Quiet Talks on Prayer,S.D. Gordon,4.15,180,280,1904
Somebody's Daughter,Ashley C. Ford,4.04,65400,208972,2021
Hidden Pictures,Jason Rekulak,4.15,256092,525290,2022
Penpal,Dathan Auerbach,3.85,39365,109177,2012
