Title,Author,Score,Ratings,Shelvings,Published
How to Know Higher Worlds: A Modern Path of Initiation (Classics in Anthroposophy),Rudolf Steiner,4.21,1660,4557,1904
"A Kingdom of Fire and Fate (Stars and Shadows, #4)",Holly Renee,3.72,4302,15111,2023
Papa Married a Mormon,John D. Fitzgerald,4.19,1176,2199,1955
Angel Falls,Kristin Hannah,3.88,56729,89280,2000
"These Broken Stars (Starbound, #1)",Amie Kaufman,3.89,69772,201239,2013
"I, Mary MacLane: A Diary of Human Days",Mary MacLane,4.16,70,326,1917
A Pin to See the Peepshow,F. Tennyson Jesse,4.04,304,933,1934
"Planes, Trains, and All the Feels",Livy Hart,3.72,5914,47621,2023
Manhattan Transfer,John Dos Passos,3.65,6452,21979,1925
The Economic Consequences of the Peace,John Maynard Keynes,3.96,1792,5211,1919
The Surprising Adventures of the Magical Monarch of Mo and His People,L. Frank Baum,3.84,475,710,1903
The Killer,Stewart Edward White,3.22,59,158,1919
Yours for the Taking,Gabrielle  Korn,3.68,1957,24082,2023
"Double Fudge (Fudge, #5)",Judy Blume,3.99,22820,32200,2002
Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,4.4,14444,3267,1954
Light in August,William Faulkner,3.94,61990,129677,1932
Gandhi on Non-Violence,Mahatma Gandhi,4.21,688,2321,1965
Expiration Dates,Rebecca Serle,3.75,20293,95494,2024
The Jane Austen Society,Natalie Jenner,3.74,47219,162793,2020
"The Fifth Sacred Thing (Maya Greenwood, #1)",Starhawk,4.21,7460,17348,1993
"Someday, Someday, Maybe",Lauren Graham,3.53,56127,128872,2013
Locust Lane,Stephen Amidon,3.57,5733,33318,2023
Bismarck: The Man and the Statesman,A.J.P. Taylor,3.82,568,1550,1955
Robert Kennedy and His Times,Arthur M. Schlesinger Jr.,4.27,2436,5466,1978
"Doctor Dolittle's Post Office (Doctor Dolittle, #3)",Hugh Lofting,3.97,919,1588,1923
"Dog Man (Dog Man, #1)",Dav Pilkey,4.15,70643,105676,2016
The Magic of Thinking Big,David J. Schwartz,4.26,92635,228045,1959
"Lonesome Road (Miss Silver, #3)",Patricia Wentworth,3.96,2390,2321,1939
Rules,Cynthia Lord,3.98,62390,93542,2006
The Cheese and the Worms: The Cosmos of a Sixteenth-Century Miller,Carlo Ginzburg,4.0,5792,10412,1976
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.8,221686,439789,2003
...And Ladies of the Club,Helen Hooven Santmyer,4.15,12875,24775,1982
Harriet,Elizabeth Jenkins,4.15,931,1717,1934
Crow: From the Life and Songs of the Crow,Ted Hughes,4.07,4458,7032,1970
Tales of Mystery and Imagination (Calla Editions),Edgar Allan Poe,4.18,196,309,1908
"Deceit, Desire and the Novel: Self and Other in Literary Structure",René Girard,4.25,608,2889,1961
Success: Three Years in the Life of a Province,Lion Feuchtwanger,4.33,302,895,1930
One Last Word,Suzanne Park,3.51,277,15218,2024
The Insurrection in Dublin,James Stephens,3.91,159,187,1913
The Tale of Mr. Tod,Beatrix Potter,3.88,2022,3604,1912
"The Vampire, his Kith and Kin",Montague Summers,3.8,164,335,1928
"Over the Edge (Alex Delaware, #3)",Jonathan Kellerman,3.93,12716,17329,1987
The Johnstown Flood,David McCullough,4.13,23027,40680,1968
The Nature of Sympathy,Max Scheler,3.76,50,314,1923
"Icebound (Boundless Players, #1)",Meredith  Trapp,3.87,5763,22717,2024
Curious George Gets a Medal,H.A. Rey,4.2,7019,8329,1957
"Bodily Changes in Pain, Hunger, Fear, and Rage; An Account of Recent Researches Into the Function of Emotional Excitement",Walter Bradford Cannon,4.0,8,101,1915
The Social Principles of Jesus,Walter Rauschenbusch,3.95,77,279,1916
"Exit, Voice, and Loyalty: Responses to Decline in Firms, Organizations, and States",Albert O. Hirschman,4.13,990,5947,1970
Mistress of Mellyn,Victoria Holt,3.92,9224,15074,1960
"Twelve Sharp (Stephanie Plum, #12)",Janet Evanovich,4.16,100067,146477,2006
North (French Literature),Louis-Ferdinand Céline,4.01,757,2011,1960
"Blago Bung, Blago Bung, Bosso Fataka! First Texts of German Dada",Hugo Ball,4.1,29,127,1916
The Way of Man,Martin Buber,4.28,783,1576,1948
Permutation City,Greg Egan,4.07,10796,26055,1994
I Am a Woman,Ann Bannon,3.7,809,1962,1957
"Will You Please Be Quiet, Please?",Raymond Carver,4.21,17718,30055,1976
Embers in the London Sky,Sarah Sundin,4.31,1018,18766,2024
My Side of the Matter,Truman Capote,3.63,216,534,1945
The Gateway of the Monster,William Hope Hodgson,3.51,136,198,1910
The Life and Times Of Cleopatra: Queen of Egypt (Kegan Paul Library of Ancient Egypt),Arthur Weigall,3.94,31,117,1914
Bellefleur,Joyce Carol Oates,3.77,2562,9263,1980
The Secret History,Donna Tartt,4.17,747203,2066065,1992
"When He Was Wicked (Bridgertons, #6)",Julia Quinn,4.0,181707,280122,2004
A Mirror for Witches,Esther Forbes,3.9,204,880,1928
Old Yeller,Fred Gipson,4.1,98203,142540,1958
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Incerto),Nassim Nicholas Taleb,4.08,64693,166972,2001
You Just Don't Understand: Women and Men in Conversation,Deborah Tannen,3.87,6362,16383,1990
The Prospects,K.T. Hoffman,4.42,895,14497,2024
"Little Bear's Friend (Little Bear, #3)",Else Holmelund Minarik,4.32,14061,16395,1960
Snow Falling on Cedars,David Guterson,3.86,186874,291005,1994
The Three of Us,Ore Agbaje-Williams,2.98,5197,24819,2023
